El partido de voleibol está en curso entre las damas	Mujeres participando en las finales de la competencia de tenis
La denominación "rayos X" designa a una radiación electromagnética, invisible, capaz de atravesar cuerpos opacos y de imprimir las películas fotográficas.	Los rayos X son una radiación electromagnética de la misma naturaleza que las ondas de radio, las ondas de microondas, los rayos infrarrojos, la luz visible, los rayos ultravioleta y los rayos gamma.
"El frente de la tormenta se encuentra a la izquierda de la imagen, donde se puede distinguir una mayor turbulencia representada en color blanco.	La sonda Cassini midió la temperatura de la tormenta, y detectó un rápido incremento cuando se empezó a liberar energía en la atmósfera: "La tormenta creció tanto que si se encontrase en la Tierra cubriría toda Europa.
Dos hombres en trajes rojos practicando artes marciales.	Dos hombre en uniformes de artes marciales entrenando.
Mark Zuckerberg, el CEO de la compañía, se encargó de responder las preguntas de los propios usuarios de Facebook a través de una sesión de "Preguntas & Respuestas".	A finales de octubre el área de comunicación convocó a todos los usuarios de la red a participar en una sesión de preguntas y respuestas con el fundador de Facebook.
La ayuda ha estado llegando este domingo a los barrios más castigados de la ciudad, luego que el sábado se registraran varios ataques contra los convoyes humanitarios de las Naciones Unidas y la Media Luna Roja, de los que el régimen sirio y la oposición se acusaron mutuamente.	Amos ha ensalzado la "valentía" y la "tenacidad" de los trabajadores humanitarios de Naciones Unidas y la Media Luna Roja que entraron este sábado en la Ciudad Vieja de Homs para entregar la ayuda a la población.
Un manifestante de 22 años fue detenido el domingo en su casa tras haber confesado que había tenido en sus manos la bengala que hirió al camarógrafo.	Fabio Raposo, un manifestante de 22 años detenido el domingo por haber tenido en sus manos la bengala que hirió al camarógrafo, fue quien identificó en una fotografía al presunto autor del disparo, a cambio de una reducción de su pena, precisó Luciano.
La "densidad media" es la razón entre la masa de un cuerpo y el volumen que ocupa.	Para la obtención indirecta de la densidad, se miden la masa y el volumen por separado y posteriormente se calcula la densidad.
Una polaca de 91 años, declarada muerta en su casa por una médica y trasladada a la morgue, se despertó 11 horas después, informó este jueves un canal de televisión estatal.	Revive una mujer de 91 años 11 horas después de ser declarada muerta y pide dos crepes.
El "vatio" o "watt" es la unidad de potencia del Sistema Internacional de Unidades.	Níger es el 22° país más grande del mundo, con un área de 1'267.000 km², que para efectos comparativos es similar a la de Perú o a dos veces y media la de España.
El "tendón de Aquiles" ("tendo Achillis") o "tendón calcáneo" ("tendo calcaneus") es un tendón de la parte posterior de la pierna.	El tendón de Aquiles es la extensión tendinosa de los tres músculos de la pantorrilla: gemelo, sóleo y plantar delgado.
Los "hepadnavirus" tienen un genoma muy corto de ADN parcialmente de doble hélice y parcialmente de hélice simple, circular.	Los hepadnavirus tienen un modo de replicación muy peculiar; se replican a través de un ARN intermediario (que ellos transcriben de vuelta en ADN usando transcriptasa inversa).
Reunidos en Bruselas, los ministros de Relaciones Exteriores de los 28 países de la UE dieron luz verde a las negociaciones que deben conducir a un "acuerdo de diálogo político y de cooperación" con la isla dirigida por el presidente Raúl Castro.	EP/Bruselas Los ministros de Asuntos Exteriores de la Unión Europea han aprobado este lunes las condiciones para negociar con el régimen cubano un acuerdo sobre diálogo político y cooperación que permita normalizar las relaciones con Cuba y "alentar" reformas democráticas y modernización en la isla, según han informado fuentes diplomáticas.
Esta especie de 'Plan Marschal', en el que participaría también el FMI constituye una alternativa a la ayuda económica brindada por Moscú, que puso sobre la mesa 15.000 millones de dólares en créditos y una reducción del precio del gas, después de que en noviembre Yanukovich decidiera no firmar un acuerdo de asociación con la UE y acercarse a Rusia.	Esta oferta le daría a los dirigentes de Kiev una alternativa a la ayuda económica brindada por Moscú, que puso sobre la mesa US$15,000 millones en créditos y una reducción del precio del gas, después de que en noviembre Yanukovich decidiera no firmar un acuerdo de asociación con la UE y acercarse a Rusia.
Una polaca de 91 años, Janina Kolkiewicz, despertó dentro de una bolsa para cadáveres en un tanatorio de Ostrów Lubelski once horas después de que una médico hubiese certificado su fallecimiento.	: La doctora Wieslawa Cyz, responsable de certificar el fallecimiento de Janina Kolkiewicz, aseguró que estaba “totalmente convencida” de que la mujer había muerto. 
Irán se comprometió en noviembre a entregar al OIEA información relevante mutuamente acordada y permitir a los inspectores internacionales acceder a la mina de Gachín, en Bandar Abás y la planta de producción de agua pesada de Arak, en el este.	En ese documento, Irán se comprometía a entregar información relevante mutuamente acordada y gestionar el acceso a la mina de Gachín, en Bandar Abás y la planta de producción de agua pesada de Arak, en el este del país. 
El hombre mató a cuchilladas a Dalia Lemkus, una mujer de 25 años originaria de la colonia de Tekoa, e hirió a dos hombres de 26 y 50 años.	Asimismo, las fuerzas de seguridad israelíes detuvieron en Hebrón al hermano del hombre que presuntamente apuñaló a una mujer de 25 años causándole la muerte, y causó heridas a otras dos personas junto a una colonia judía en Cisjordania, según la misma agencia. 
Astrónomos australianos encuentran "la estrella más antigua del Universo" Según los científicos, este cuerpo celeste se formó "sólo" unos doscientos millones de años después del Big Bang.	Este cuerpo celeste se formó "sólo" unos doscientos millones de años después del Big Bang, al origen del nacimiento del universo, según los expertos.
Tras el revuelo que ha suscitado el ‘mensaje leído’ de WhatsApp, la app de mensajería instantánea ya permite a los usuarios de dispositivos Android que desactiven el 'doble check azul', la opción que revela si el mensaje ha sido leído e, incluso, la fecha y hora de dicha lectura.	La 'app' de mensajería instantánea permite que los usuarios puedan volver a la calma y desactivar el doble check azul de la misma forma que se desactiva la última hora de conexión o se oculta la fotografía de perfil.
Una persona en shorts brillantes trata de atrapar un frisbee	La mujer con la cámara está lanzando un Frisbee para que su perro marrón lo atrape.
Dos bomberos trabajan en el camión de bomberos.	Tres trabajadores están saliendo de su edificio en llamas durante un incendio.
El Dr. Yamanoue, creador del cuerpo de Marte, trata de usar el robot para propósitos militares, mientras que el Dr. Kawashimo (en Hispanoamérica el Dr. Sopa), creador de la inteligencia artificial de Marte, se opone fuertemente a esa idea.	"Dr. Kawachi" (en Hispanoamérica el Dr. Sopa): Creador del super-cerebro eléctronico de Marte y a la vez creador de su hija robot Miri.
Una joven muchacha que sostiene dos bastones para escalar está de pie sobre una roca en un arrollo.	Un hombre y una mujer están escalando en una montaña.
El equipo de fax receptor reconvierte la imagen codificada, y la imprime en papel.	El "flamenco" es un estilo de música y danza que se originó en Andalucía (España).
Suecia ha sido el primer país de la UE que ha reconocido unilateralmente al Estado palestino , lo que ha provocado las protestas diplomáticas de Israel.	De momento, Suecia es el único país europeo que ha reconocido oficialmente a Palestina como Estado.
La presidenta ingresó hace una semana a la clínica Otamendi de Buenos Aires con un cuadro febril infeccioso y presencia de bacterias en la sangre.	Kirchner, de 61 años, sufre “un cuadro de sigmoiditis” con presencia de bacterias en sangre, según el diagnóstico.
Las más de 30.000 entrevistas personales se realizaron en todos los países latinoamericanos hispanoparlantes menos Cuba.	El informe está basado en más de 30.000 entrevistas personales realizadas entre octubre de 2013 y febrero de 2014, en 18 países de América Latina y Puerto Rico.
La respuesta de Hamas no tardó en llegar: todo esto no son más que "mentiras", "insultos" y "desinformación", cuando "el pueblo palestino necesita a un presidente valiente", diez años después de la muerte de su icono nacional.	Líder palestino acusa a Israel de perpetuar 'guerra religiosa' en aniversario de la muerte de Yaser Arafat.
La llamada Caravana Brigada Nacional de los 43 Desaparecidos recorrerá sietes estados de norte a sur del país, entre ellos Chihuahua, Chiapas, y el propio Guerrero.	Denominan la segunda brigada, como “Daniel Solís Gallardo”, recorrerá los estados de Chiapas, Morelos, y Tlaxcala.
También un volumen y una imagen del "Señor de los Milagros", porque "el fervor religioso paraliza Lima"; una camiseta de la selección peruana "para que les ayude con el padre Celestial para que Perú vuelva a estar en el Mundial", según Humala.	Durante el intercambio de regalos, el Presidente del Perú entregó al Pontífice un bajo relieve del Señor de los Milagros y una camiseta de la selección peruana de fútbol.
El 8 de junio de ese año Göhr batió de nuevo el récord mundial de los 100 m en Berlín Este haciendo 10,81.	Sin embargo, el nacionalismo europeo se vio truncado por el ascenso de Hitler al poder y la Segunda Guerra Mundial.
La cadena estadounidense Fox News se ha volcado con esta causa y esta noche ofrece un programa especial llamado ‘El Hombre que mató a Osama Bin Laden’ que tendrá dos entregas: la de esta noche y la de mañana.	Robert James O'Neill es el hombre que aparentemente mató a Osama bin Laden en Abbotabad el 1 de mayo de 2011.
